ch4_country,n2o_country,srdb_country,gapminder_country,SOC_country
,,Antarctica,,
,Afghanistan,,Afghanistan,
,Albania,,Albania,
,Algeria,,Algeria,Algeria
,Angola,,Angola,Angola
Argentina,Argentina,Argentina,Argentina,Argentina
Australia,Australia,Australia,Australia,Australia
,Austria,Austria,Austria,Austria
Bahamas,,,,
,,,,Azerbaidjan
,Bahrain,,Bahrain,
,Bangladesh,,Bangladesh,Bangladesh
,,,,Belarus
,Belgium,Belgium,Belgium,Belgium
,Belize,Belize,Belize,Belize
,Benin,Benin,Benin,Benin
,Bolivia,Bolivia,Bolivia,Bolivia
,Bosnia and Herzegovina,,Bosnia and Herzegovina,Bosnia And Herzegovina
,Botswana,Botswana,Botswana,Botswana
Brasil,Brazil,Brazil,Brazil,Brasil
Brazil,Brazil,,Brazil,Brazil
Brazilian,Brazil,,Brazil,
,Bulgaria,Bulgaria,Bulgaria,Bulgaria
Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
,Burundi,,Burundi,
,Cambodia,,Cambodia,Cambodia
Cameroon,Cameroon,,Cameroon,Cameroon
Canada,Canada,Canada,Canada,Canada
,Central African Republic,,Central African Republic,
,Chad,,Chad,
Chile,Chile,Chile,Chile,Chile
China,China,China,China,China
Colombia,Colombia,Colombia,Colombia,Colombia
,Comoros,,Comoros,
Congo,Congo,Congo,"Congo, Dem. Rep.",Congo
,"Congo, Rep.",,"Congo, Rep.",
Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica
,Cote d'Ivoire,,Cote d'Ivoire,
,Croatia,,Croatia,Croatia
,Cuba,,Cuba,Cuba
,Czech Republic,Czech Republic,Czech Republic,Czech Republic
,Czech Republic,Czechia,Czech Republic,
,Czech Republic,Czechoslovakia,Czech Republic,
Denmark,Denmark,Denmark,Denmark,Denmark
,Djibouti,,Djibouti,
,Dominican Republic,,Dominican Republic,Dominican Republic
,,,,East Timor
Ecuador,Ecuador,Ecuador,Ecuador,Ecuador
,Egypt,Egypt,Egypt,Egypt
England,United Kingdom,England,United Kingdom,
Estonia,Russia,Estonia,Russia,
,El Salvador,,El Salvador,
,Equatorial Guinea,,Equatorial Guinea,
,Eritrea,,Eritrea,
,,,,Estonia
,Ethiopia,Ethiopia,Ethiopia,Ethiopia
Finland,Finland,Finland,Finland,Finland
France,France,France,France,France
New Caledonia,France,,France,
,France,French Guiana,France,
,Gabon,,Gabon,
,Gambia,,Gambia,Gambia
German,Germany,,Germany,Germany
Germany,Germany,Germany,Germany,
Ghana,Ghana,,Ghana,Ghana
Greece,Greece,Greece,Greece,Greece
,Denmark,Greenland,Denmark,Greenland
,,,,Guam
,Guatemala,,Guatemala,Guatemala
,Guinea,,Guinea,Guinea
,Guinea-Bissau,,Guinea-Bissau,Guinea-bissau
,Haiti,,Haiti,
,Honduras,,Honduras,Honduras
,"Hong Kong, China",,"Hong Kong, China",
,Hungary,Hungary,Hungary,Hungary
Iceland,Iceland,,Iceland,Iceland
India,India,India,India,India
Indonesia,Indonesia,Indonesia,Indonesia,Indonesia
Iran,Iran,,Iran,Iran
,Iraq,,Iraq,
Ireland,Ireland,Ireland,Ireland,Ireland
,Israel,Israel,Israel,Israel
,Israel,Isreal,Israel,
Italy,Italy,Italy,Italy,Italy
,,,,Ivory Coast
,Jamaica,,Jamaica,
Japan,Japan,Japan,Japan,Japan
,Jordan,,Jordan,Jordan
,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
Kenia,Kenya,Kenya,Kenya,Kenya
,"Korea, Dem. Rep.",Korea,"Korea, Dem. Rep.",
,"Korea, Rep.",,"Korea, Rep.",Kyrgyzstan
,Kuwait,,Kuwait,
,,,,Laos
,,,,Latvia
,Lebanon,,Lebanon,
,Lesotho,,Lesotho,
,Liberia,,Liberia,
,Libya,,Libya,
,,,,Lichtenchtein
,,,,Lithuania
,,,,Luxembourg
,Madagascar,,Madagascar,Madagascar
,Malawi,Malawi,Malawi,Malawi
Borneo,Malaysia,,Malaysia,Malaysia
Malaysia,Malaysia,Malaysia,Malaysia,
,Mali,,Mali,Mali
,Mauritania,,Mauritania,
,Mauritius,,Mauritius,
Mexico,Mexico,Mexico,Mexico,Mexico
,"Micronesia, Fed. Sts.",Micronesia,"Micronesia, Fed. Sts.",
,,,,Moldova
,Mongolia,,Mongolia,Mongolia
,Montenegro,,Montenegro,
,Morocco,,Morocco,Morocco
,Mozambique,,Mozambique,Mozambique
,Myanmar,,Myanmar,Myanmar
,Namibia,,Namibia,Namibia
Nepal,Nepal,,Nepal,Nepal
,The Netherlands,Netherlands,Netherlands,Netherlands
,Netherlands,Netherlands,Netherlands,
New Zealand,New Zealand,New Zealand,New Zealand,New Zealand
,Nicaragua,,Nicaragua,Nicaragua
,Niger,,Niger,Niger
,Nigeria,,Nigeria,Nigeria
,Norway,Norway,Norway,Norway
,Oman,,Oman,Oman
,Pakistan,,Pakistan,Pakistan
Panama,Panama,Panama,Panama,Panama
,,,,Papua New Guinea
,Paraguay,,Paraguay,Paraguay
Peru,Peru,Peru,Peru,Peru
Philippines,Philippines,,Philippines,Philippines
,Poland,Poland,Poland,Poland
Portugal,Portugal,Portugal,Portugal,Portugal
Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico
,,,,Reunion Island
,"Congo, Rep.",Republic of Congo,"Congo, Rep.",
,Niger,Republic of Niger,Niger,
Russia,Russia,Russia,Russia,Russia
,Reunion,,Reunion,
,Romania,,Romania,Romania
,Rwanda,Rwanda,Rwanda,Rwanda
,United Kingdom,Scotland,United Kingdom,
,Sao Tome and Principe,,Sao Tome and Principe,
Saudi Arabia,Saudi Arabia,,Saudi Arabia,Saudi Arabia
Scotland,United Kingdom,,United Kingdom,
Senegal,Senegal,,Senegal,Senegal
,Serbia,,Serbia,Serbia
,Sierra Leone,,Sierra Leone,
,Singapore,,Singapore,
,Slovak Republic,,Slovak Republic,Slovakia
,Slovenia,Slovenia,Slovenia,Slovenia
,,,,Solomon Islands
,Somalia,,Somalia,Somalia
